treatment_order,city_key,grid_id,station_event_id,opening_month,status,active_families,selected_method,donor_scope,control_city_key,control_grid_id,control_unit_key,candidate_count,candidate_city_count,training_feature_count,holdout_feature_count,training_distance,holdout_rms_standardized_gap,holdout_max_abs_standardized_gap,training_distance_threshold,holdout_rms_threshold,holdout_max_abs_threshold,control_selection_uses_post_outcome,failure_reason
146,shenzhen,g00164x00070,shenzhen_station_5b768279fbe2,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
147,shenzhen,g00165x00067,shenzhen_station_f9473220e48a,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
148,shenzhen,g00167x00072,shenzhen_station_928871605e75,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
149,shenzhen,g00168x00076,shenzhen_station_15db354e9297,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
150,shenzhen,g00169x00075,shenzhen_station_2023fb747baa,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
151,shenzhen,g00171x00075,shenzhen_station_7869363602b7,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
152,shenzhen,g00173x00077,shenzhen_station_be21b1aab9d7,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
153,shenzhen,g00174x00082,shenzhen_station_58c94ff82e28,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
154,shenzhen,g00187x00112,shenzhen_station_68ce087e7727,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
155,shenzhen,g00191x00114,shenzhen_station_cca8a661c1b8,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
156,shenzhen,g00193x00117,shenzhen_station_9e2ddb73ccc2,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
157,shenzhen,g00199x00128,shenzhen_station_402d8631e723,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
158,shenzhen,g00203x00134,shenzhen_station_4fbfc4a842b3,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
159,shenzhen,g00206x00135,shenzhen_station_310f0794ab41,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
160,shenzhen,g00212x00137,shenzhen_station_f4ecb7583b56,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
161,shenzhen,g00214x00139,shenzhen_station_34fb52780258,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
162,beijing,g00068x00175,beijing_station_73a666ca857d,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
163,beijing,g00071x00175,beijing_station_536f259e536b,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
164,beijing,g00077x00175,beijing_station_228ceb7c6795,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
165,beijing,g00079x00177,beijing_station_33c7e7f26cde,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
166,beijing,g00080x00142,beijing_station_736978d16d89,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
167,beijing,g00080x00144,beijing_station_657dbbaa7c91,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
168,beijing,g00080x00147,beijing_station_3b380f94cb61,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
169,beijing,g00080x00150,beijing_station_824e6c238567,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
170,beijing,g00081x00152,beijing_station_deca1d251725,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
171,beijing,g00081x00177,beijing_station_a3072def1e2e,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
172,beijing,g00084x00177,beijing_station_cc543f2276c8,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
173,beijing,g00085x00152,beijing_station_6625b02ec82c,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
174,beijing,g00086x00177,beijing_station_49503b4b7493,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
175,beijing,g00088x00153,beijing_station_7853069cb43d,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
176,beijing,g00088x00177,beijing_station_2abc2d2019ee,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
177,beijing,g00089x00157,beijing_station_a6a9ba5791a9,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
178,beijing,g00090x00213,beijing_station_d85bf8dc7530,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
179,beijing,g00091x00177,beijing_station_ac1459b1bc7d,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
180,beijing,g00092x00210,beijing_station_34dccaac4ffb,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
181,beijing,g00093x00217,beijing_station_166bd15bada5,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
182,beijing,g00094x00177,beijing_station_90dbf9f415ea,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
183,beijing,g00095x00158,beijing_station_fc84e2c78163,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
184,beijing,g00095x00208,beijing_station_a01dad30005a,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
185,beijing,g00095x00220,beijing_station_e54f014e2a94,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
186,beijing,g00097x00203,beijing_station_b61e11d1f389,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
187,beijing,g00097x00207,beijing_station_e9d6ec372537,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
188,beijing,g00098x00170,beijing_station_6ee339ca3317,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
189,beijing,g00098x00199,beijing_station_fd0335471964,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
190,beijing,g00098x00204,beijing_station_b096c4526d0d,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
191,beijing,g00099x00183,beijing_station_ff2de1028731,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
192,beijing,g00103x00199,beijing_station_d37a177f2eba,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
193,beijing,g00104x00197,beijing_station_4224303c0a37,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
194,beijing,g00146x00205,beijing_station_4218d9a85c3c,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
195,beijing,g00148x00207,beijing_station_11f5ef02f78f,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
196,beijing,g00151x00212,beijing_station_3a826d3eae5b,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
197,beijing,g00156x00216,beijing_station_a1a5b41f228d,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
198,beijing,g00159x00216,beijing_station_c9af088f1447,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
199,beijing,g00162x00171,beijing_station_f65e9a8dbce0,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
200,beijing,g00166x00217,beijing_station_49da984000ed,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
201,beijing,g00170x00171,beijing_station_5756c4f8f836,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
202,beijing,g00174x00170,beijing_station_a42f44300886,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
203,beijing,g00177x00169,beijing_station_ee28b0a795c6,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
204,beijing,g00187x00170,beijing_station_7ae2c89bff8e,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
205,shanghai,g00157x00088,shanghai_station_b88af5f2d9ea,2011-04,pending,,,,,,,,,,,,,,,,,FALSE,
206,tianjin,g00141x00113,tianjin_station_f98e9100b664,2011-05,pending,,,,,,,,,,,,,,,,,FALSE,
207,tianjin,g00143x00111,tianjin_station_effa345ce027,2011-05,pending,,,,,,,,,,,,,,,,,FALSE,
208,tianjin,g00145x00109,tianjin_station_b62d9018ef9a,2011-05,pending,,,,,,,,,,,,,,,,,FALSE,
209,shenzhen,g00176x00071,shenzhen_station_59c132fa1775,2011-06,pending,,,,,,,,,,,,,,,,,FALSE,
210,shenzhen,g00177x00067,shenzhen_station_58d4d8ae43d4,2011-06,pending,,,,,,,,,,,,,,,,,FALSE,
211,shenzhen,g00180x00067,shenzhen_station_48deba1cd70b,2011-06,pending,,,,,,,,,,,,,,,,,FALSE,
212,shenzhen,g00181x00065,shenzhen_station_8bdaa529a9f0,2011-06,pending,,,,,,,,,,,,,,,,,FALSE,
213,shenzhen,g00183x00064,shenzhen_station_41404944aa8a,2011-06,pending,,,,,,,,,,,,,,,,,FALSE,
214,shenzhen,g00186x00060,shenzhen_station_7bf04679d0bf,2011-06,pending,,,,,,,,,,,,,,,,,FALSE,
